method,rule,qset,fit,n_train_rungs,model,n_docs,pred,obs,rmse_nats,rmse_log,params
bm25,top1%,in-dist,extrapolate,5,kaplan-ols,256000,0.26931916360888,0.16193238894362974,0.1571839195265272,0.5118114006553827,
bm25,top1%,in-dist,extrapolate,5,kaplan-ols,512000,0.4936107500464428,0.24551928440729776,0.1571839195265272,0.5118114006553827,
bm25,top1%,in-dist,extrapolate,5,kaplan-huber,128000,0.16331669910884936,0.17917777697245282,0.229198396683795,0.6548958412835189,
bm25,top1%,in-dist,extrapolate,5,kaplan-huber,256000,0.31591075606548574,0.16193238894362974,0.229198396683795,0.6548958412835189,
bm25,top1%,in-dist,extrapolate,5,kaplan-huber,512000,0.6110802284299851,0.24551928440729776,0.229198396683795,0.6548958412835189,
bm25,top1%,in-dist,extrapolate,5,kaplan-smear,128000,0.23918104494658263,0.17917777697245282,0.4146424774782479,0.9761095283254346,
bm25,top1%,in-dist,extrapolate,5,kaplan-smear,256000,0.46265853496859966,0.16193238894362974,0.4146424774782479,0.9761095283254346,
bm25,top1%,in-dist,extrapolate,5,kaplan-smear,512000,0.894940985089752,0.24551928440729776,0.4146424774782479,0.9761095283254346,
bm25,top1%,in-dist,extrapolate,5,offset-huber,128000,0.18650388792225098,0.17917777697245282,0.38094994170569424,0.8930300746172537,
bm25,top1%,in-dist,extrapolate,5,offset-huber,256000,0.3997852085431053,0.16193238894362974,0.38094994170569424,0.8930300746172537,
bm25,top1%,in-dist,extrapolate,5,offset-huber,512000,0.8609386037040242,0.24551928440729776,0.38094994170569424,0.8930300746172537,
bm25,top1%,in-dist,extrapolate,5,sat-huber,128000,0.0479611070434639,0.17917777697245282,0.14306079083530815,1.2480936435993553,
bm25,top1%,in-dist,extrapolate,5,sat-huber,256000,0.056016750704354745,0.16193238894362974,0.14306079083530815,1.2480936435993553,
bm25,top1%,in-dist,extrapolate,5,sat-huber,512000,0.06396148993846984,0.24551928440729776,0.14306079083530815,1.2480936435993553,
bm25,top1%,in-dist,extrapolate,6,loglin,256000,0.1801377856991948,0.16193238894362974,0.02671457200414936,0.1271383974779365,
bm25,top1%,in-dist,extrapolate,6,loglin,512000,0.2124149003516742,0.24551928440729776,0.02671457200414936,0.1271383974779365,
bm25,top1%,in-dist,extrapolate,6,kaplan-ols,256000,0.2954520687220319,0.16193238894362974,0.23665587604287125,0.7138594430810177,
bm25,top1%,in-dist,extrapolate,6,kaplan-ols,512000,0.5524142215488391,0.24551928440729776,0.23665587604287125,0.7138594430810177,
bm25,top1%,in-dist,extrapolate,6,kaplan-huber,256000,0.33580910136313413,0.16193238894362974,0.31546112006534727,0.8657214899967441,
bm25,top1%,in-dist,extrapolate,6,kaplan-huber,512000,0.6563700181585616,0.24551928440729776,0.31546112006534727,0.8657214899967441,
bm25,top1%,in-dist,extrapolate,6,kaplan-smear,256000,0.4606842771231035,0.16193238894362974,0.5090123263804206,1.1793836965066071,
bm25,top1%,in-dist,extrapolate,6,kaplan-smear,512000,0.9004501251253195,0.24551928440729776,0.5090123263804206,1.1793836965066071,
bm25,top1%,in-dist,extrapolate,6,offset-huber,256000,0.362915553081997,0.16193238894362974,0.389548013912689,0.9806644693595433,
bm25,top1%,in-dist,extrapolate,6,offset-huber,512000,0.7584530793746124,0.24551928440729776,0.389548013912689,0.9806644693595433,
bm25,top1%,in-dist,extrapolate,6,sat-huber,256000,0.09226603068158756,0.16193238894362974,0.11029209287523553,0.7150004695525454,
bm25,top1%,in-dist,extrapolate,6,sat-huber,512000,0.10596538790811738,0.24551928440729776,0.11029209287523553,0.7150004695525454,
bm25,top1%,in-dist,extrapolate,7,loglin,512000,0.20201181649135186,0.24551928440729776,0.0435074679159459,0.19504930253455055,
bm25,top1%,in-dist,extrapolate,7,kaplan-ols,512000,0.3756313265949634,0.24551928440729776,0.13011204218766564,0.42523265228933693,
bm25,top1%,in-dist,extrapolate,7,kaplan-huber,512000,0.40838993164712084,0.24551928440729776,0.16287064723982309,0.5088469371141142,
bm25,top1%,in-dist,extrapolate,7,kaplan-smear,512000,0.5586116452872928,0.24551928440729776,0.31309236087999504,0.8220790048610559,
bm25,top1%,in-dist,extrapolate,7,offset-huber,512000,0.4083919379531416,0.24551928440729776,0.16287265354584385,0.5088518498236035,
bm25,top1%,in-dist,extrapolate,7,sat-huber,512000,0.14026026530291702,0.24551928440729776,0.10525901910438074,0.5598757610917735,
bm25,top40,in-dist,full-row,8,loglin,,,,0.023618515633256246,nan,a=-0.2985 b_per_doubling=0.02378
bm25,top40,in-dist,full-row,8,kaplan-ols,,,,0.02862710505117273,0.4817372942281704,A_at_1e4=0.01091 alpha=0.7343
bm25,top40,in-dist,full-row,8,kaplan-huber,,,,0.028643485075572985,0.46896067326062657,A_at_1e4=0.01125 alpha=0.7324
bm25,top40,in-dist,full-row,8,kaplan-smear,,,,0.04224246742880095,0.436822408351652,A_at_1e4=0.01125 alpha=0.7324 smearing=1.325
bm25,top40,in-dist,full-row,8,offset-huber,,,,0.028910565583622688,0.4696856709681617,delta0=0.0004634 A_at_1e4=0.01073 alpha=0.7439
bm25,top40,in-dist,full-row,8,sat-huber,,,,0.03142666657370908,0.5781184176027677,delta_inf=1.19 A_at_1e4=1.163 alpha=0.02 alpha_at_floor=1
bm25,top40,in-dist,extrapolate,3,loglin,32000,0.0301609070391472,0.014022982597351066,0.07233003635824853,0.9017555956859628,
bm25,top40,in-dist,extrapolate,3,loglin,64000,0.0373439647828685,0.08020505452156065,0.07233003635824853,0.9017555956859628,
bm25,top40,in-dist,extrapolate,3,loglin,128000,0.0445270225265898,0.13546563784281415,0.07233003635824853,0.9017555956859628,
bm25,top40,in-dist,extrapolate,3,loglin,256000,0.0517100802703111,0.1047358194986979,0.07233003635824853,0.9017555956859628,
bm25,top40,in-dist,extrapolate,3,loglin,512000,0.0588931380140324,0.1728190104166667,0.07233003635824853,0.9017555956859628,
bm25,top40,in-dist,extrapolate,3,kaplan-ols,32000,0.019031451864484895,0.014022982597351066,0.07029495887291741,0.9046857008123056,
bm25,top40,in-dist,extrapolate,3,kaplan-ols,64000,0.026794949000534217,0.08020505452156065,0.07029495887291741,0.9046857008123056,
bm25,top40,in-dist,extrapolate,3,kaplan-ols,128000,0.037725408290108,0.13546563784281415,0.07029495887291741,0.9046857008123056,
bm25,top40,in-dist,extrapolate,3,kaplan-ols,256000,0.05311472810144084,0.1047358194986979,0.07029495887291741,0.9046857008123056,
bm25,top40,in-dist,extrapolate,3,kaplan-ols,512000,0.07478181069891117,0.1728190104166667,0.07029495887291741,0.9046857008123056,
bm25,top40,in-dist,extrapolate,3,kaplan-huber,32000,0.020582293839270495,0.014022982597351066,0.05658799811361287,0.7189779739713419,
bm25,top40,in-dist,extrapolate,3,kaplan-huber,64000,0.030998049946596284,0.08020505452156065,0.05658799811361287,0.7189779739713419,
bm25,top40,in-dist,extrapolate,3,kaplan-huber,128000,0.04668474310955297,0.13546563784281415,0.05658799811361287,0.7189779739713419,
bm25,top40,in-dist,extrapolate,3,kaplan-huber,256000,0.07030975312833407,0.1047358194986979,0.05658799811361287,0.7189779739713419,
bm25,top40,in-dist,extrapolate,3,kaplan-huber,512000,0.10589029853643372,0.1728190104166667,0.05658799811361287,0.7189779739713419,
bm25,top40,in-dist,extrapolate,3,kaplan-smear,32000,0.03378397569124234,0.014022982597351066,0.03107107511090932,0.5127040869142725,
bm25,top40,in-dist,extrapolate,3,kaplan-smear,64000,0.05088049825980146,0.08020505452156065,0.03107107511090932,0.5127040869142725,
bm25,top40,in-dist,extrapolate,3,kaplan-smear,128000,0.07662878776688051,0.13546563784281415,0.03107107511090932,0.5127040869142725,
bm25,top40,in-dist,extrapolate,3,kaplan-smear,256000,0.11540710715210926,0.1047358194986979,0.03107107511090932,0.5127040869142725,
bm25,top40,in-dist,extrapolate,3,kaplan-smear,512000,0.1738093576755615,0.1728190104166667,0.03107107511090932,0.5127040869142725,
bm25,top40,in-dist,extrapolate,3,offset-huber,32000,0.044791808464092385,0.014022982597351066,10.172080699655227,2.9630324571640734,
bm25,top40,in-dist,extrapolate,3,offset-huber,64000,0.19698942623311463,0.08020505452156065,10.172080699655227,2.9630324571640734,
bm25,top40,in-dist,extrapolate,3,offset-huber,128000,0.942197467349348,0.13546563784281415,10.172080699655227,2.9630324571640734,
