key,model,queries,logit_scale,query,loss
gpt2@0.25/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,0.25,3,7.517989635467529
gpt2@0.25/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,0.25,4,7.428673267364502
gpt2@0.25/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,0.25,5,7.712320327758789
gpt2@0.25/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,0.25,6,7.622959613800049
gpt2@0.25/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,0.25,7,7.614068508148193
gpt2@0.25/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,0.25,8,7.623495101928711
gpt2@0.25/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,0.25,9,7.6732988357543945
gpt2@0.25/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,0.25,10,7.769163131713867
gpt2@0.25/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,0.25,11,7.487266540527344
gpt2@0.25/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,0.25,12,7.520044326782227
gpt2@0.25/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,0.25,13,7.7579569816589355
gpt2@0.25/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,0.25,14,7.525998115539551
gpt2@0.25/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,0.25,15,7.4791412353515625
gpt2@0.25/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,0.25,16,7.652874946594238
gpt2@0.25/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,0.25,17,7.735304832458496
gpt2@0.25/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,0.25,18,7.257143020629883
gpt2@0.25/indist,gpt2,/mnt/ssd-2/lucia/datasets_local/query_20.hf,0.25,19,7.005717754364014
