log,phase,seconds,iters,passes
_logs/bm25_plan_adam_eps1e17_32k_bs256_q0_2.log,Training,1110,250,1
_logs/bm25_plan_adam_eps1e17_32k_bs256_q0_2.log,filter-proponents,2220,2,1
_logs/bm25_plan_adam_eps1e17_32k_bs256_q10_12.log,Training,1105,250,1
_logs/bm25_plan_adam_eps1e17_32k_bs256_q10_12.log,filter-proponents,2213,2,1
_logs/bm25_plan_adam_eps1e17_32k_bs256_q12_14.log,Training,1117,250,1
_logs/bm25_plan_adam_eps1e17_32k_bs256_q12_14.log,filter-proponents,2236,2,1
_logs/bm25_plan_adam_eps1e17_32k_bs256_q14_16.log,Training,1121,250,1
_logs/bm25_plan_adam_eps1e17_32k_bs256_q14_16.log,filter-proponents,2245,2,1
_logs/bm25_plan_adam_eps1e17_32k_bs256_q16_18.log,Training,1099,250,1
_logs/bm25_plan_adam_eps1e17_32k_bs256_q16_18.log,filter-proponents,2201,2,1
_logs/bm25_plan_adam_eps1e17_32k_bs256_q18_20.log,Training,1113,250,1
_logs/bm25_plan_adam_eps1e17_32k_bs256_q18_20.log,filter-proponents,2229,2,1
_logs/bm25_plan_adam_eps1e17_32k_bs256_q2_4.log,Training,1101,250,1
_logs/bm25_plan_adam_eps1e17_32k_bs256_q2_4.log,filter-proponents,2203,2,1
_logs/bm25_plan_adam_eps1e17_32k_bs256_q4_6.log,Training,1131,250,1
_logs/bm25_plan_adam_eps1e17_32k_bs256_q4_6.log,filter-proponents,2265,2,1
_logs/bm25_plan_adam_eps1e17_32k_bs256_q6_8.log,Training,1106,250,1
_logs/bm25_plan_adam_eps1e17_32k_bs256_q6_8.log,filter-proponents,2139,2,1
_logs/bm25_plan_adam_eps1e17_32k_bs256_q6_8_rerun.log,Training,1107,250,1
_logs/bm25_plan_adam_eps1e17_32k_bs256_q6_8_rerun.log,filter-proponents,2216,2,1
_logs/bm25_plan_adam_eps1e17_32k_bs256_q8_10.log,Training,1115,250,1
_logs/bm25_plan_adam_eps1e17_32k_bs256_q8_10.log,filter-proponents,2234,2,1
_logs/bm25_plan_adam_eps1e17_64k_bs256_q0_2.log,Training,2219,500,1
_logs/bm25_plan_adam_eps1e17_64k_bs256_q0_2.log,filter-proponents,4422,2,1
_logs/bm25_plan_adam_eps1e17_64k_bs256_q10_12.log,Training,2226,500,1
