run,subset,query,nproc,gpu_a,node_a,python_a,query_loss_diff_a,gpu_b,node_b,python_b,query_loss_diff_b,delta,abs_delta
plan_adam_eps1e17_16k_wd0.0,1,16,2,A40,allium-0,3.11.15,-0.0016934871673583984,A100-SXM4-80GB,lotus-0,3.11.15,-0.002141714096069336,0.0004482269287109375,0.0004482269287109375
plan_adam_eps1e17_16k_wd0.0,1,17,2,A40,allium-0,3.11.15,0.0021386146545410156,A100-SXM4-80GB,lotus-0,3.11.15,0.0032868385314941406,-0.001148223876953125,0.001148223876953125
plan_adam_eps1e17_16k_wd0.0,1,18,2,A40,allium-0,3.11.15,-0.00040149688720703125,A100-SXM4-80GB,lotus-0,3.11.15,-3.5762786865234375e-05,-0.0003657341003417969,0.0003657341003417969
plan_adam_eps1e17_16k_wd0.0,1,19,2,A40,allium-0,3.11.15,5.91278076171875e-05,A100-SXM4-80GB,lotus-0,3.11.15,0.0009562969207763672,-0.0008971691131591797,0.0008971691131591797
plan_adam_eps1e17_16k_wd0.0,2,0,2,A40,allium-0,3.11.15,0.00012612342834472656,A100-SXM4-80GB,lotus-0,3.11.15,0.0005784034729003906,-0.00045228004455566406,0.00045228004455566406
plan_adam_eps1e17_16k_wd0.0,2,1,2,A40,allium-0,3.11.15,0.0018682479858398438,A100-SXM4-80GB,lotus-0,3.11.15,0.0021600723266601562,-0.0002918243408203125,0.0002918243408203125
plan_adam_eps1e17_16k_wd0.0,2,2,2,A40,allium-0,3.11.15,-0.000392913818359375,A100-SXM4-80GB,lotus-0,3.11.15,-0.0006632804870605469,0.0002703666687011719,0.0002703666687011719
plan_adam_eps1e17_16k_wd0.0,2,3,2,A40,allium-0,3.11.15,0.00029754638671875,A100-SXM4-80GB,lotus-0,3.11.15,0.0015020370483398438,-0.0012044906616210938,0.0012044906616210938
plan_adam_eps1e17_16k_wd0.0,2,4,2,A40,allium-0,3.11.15,-0.00029158592224121094,A100-SXM4-80GB,lotus-0,3.11.15,-0.00011134147644042969,-0.00018024444580078125,0.00018024444580078125
plan_adam_eps1e17_16k_wd0.0,2,5,2,A40,allium-0,3.11.15,-0.00046372413635253906,A100-SXM4-80GB,lotus-0,3.11.15,-0.00034689903259277344,-0.00011682510375976562,0.00011682510375976562
plan_adam_eps1e17_16k_wd0.0,2,6,2,A40,allium-0,3.11.15,-0.0013554096221923828,A100-SXM4-80GB,lotus-0,3.11.15,0.0012226104736328125,-0.0025780200958251953,0.0025780200958251953
plan_adam_eps1e17_16k_wd0.0,2,7,2,A40,allium-0,3.11.15,-0.0008790493011474609,A100-SXM4-80GB,lotus-0,3.11.15,4.00543212890625e-05,-0.0009191036224365234,0.0009191036224365234
plan_adam_eps1e17_16k_wd0.0,2,8,2,A40,allium-0,3.11.15,-0.0009865760803222656,A100-SXM4-80GB,lotus-0,3.11.15,-0.0003998279571533203,-0.0005867481231689453,0.0005867481231689453
plan_adam_eps1e17_16k_wd0.0,2,9,2,A40,allium-0,3.11.15,1.0967254638671875e-05,A100-SXM4-80GB,lotus-0,3.11.15,0.0006015300750732422,-0.0005905628204345703,0.0005905628204345703
plan_adam_eps1e17_16k_wd0.0,2,10,2,A40,allium-0,3.11.15,0.0006215572357177734,A100-SXM4-80GB,lotus-0,3.11.15,0.0002548694610595703,0.0003666877746582031,0.0003666877746582031
plan_adam_eps1e17_16k_wd0.0,2,11,2,A40,allium-0,3.11.15,-0.002599477767944336,A100-SXM4-80GB,lotus-0,3.11.15,-0.004929780960083008,0.002330303192138672,0.002330303192138672
