run_id,campaign,bank_subsets,retrains
plan_adam_eps1e17_16k_bs16,filter_proponents_magic,,20
plan_adam_eps1e17_16k_bs32,filter_proponents_ekfac,,20
plan_adam_eps1e17_16k_bs32,filter_proponents_magic,,20
plan_adam_eps1e17_16k_bs512,filter_proponents_ekfac,,20
plan_adam_eps1e17_16k_bs512,filter_proponents_magic,,20
plan_adam_eps1e17_16k_bs64,filter_proponents_ekfac,,20
plan_adam_eps1e17_16k_bs64,filter_proponents_magic,,20
plan_adam_eps1e17_16k_clip1.0,filter_proponents_ekfac,,20
plan_adam_eps1e17_16k_clip1.0,filter_proponents_magic,,20
plan_adam_eps1e17_16k_ep4,filter_proponents_ekfac,,20
plan_adam_eps1e17_16k_ep4,filter_proponents_magic,,20
plan_adam_eps1e17_16k_gpt2-medium,filter_proponents_ekfac,,20
plan_adam_eps1e17_16k_gpt2-medium,filter_proponents_magic,,20
plan_adam_eps1e17_16k_scale0.25,filter_proponents_ekfac,,20
plan_adam_eps1e17_16k_scale0.25,filter_proponents_magic,,20
plan_adam_eps1e17_16k_scale0.5,filter_proponents_ekfac,,20
plan_adam_eps1e17_16k_scale0.5,filter_proponents_magic,,20
plan_adam_eps1e17_16k_wd0.0,filter_proponents_ekfac,,20
plan_adam_eps1e17_16k_wd0.0,filter_proponents_magic,,20
plan_adam_eps1e17_16k_wd0.1,filter_proponents_ekfac,,20
plan_adam_eps1e17_16k_wd0.1,filter_proponents_magic,,20
plan_adam_eps1e17_256k_bs256,filter_proponents_bm25,,20
plan_adam_eps1e17_256k_bs256,filter_proponents_ekfac,,20
plan_adam_eps1e17_256k_bs256,filter_top40_bm25,,20
plan_adam_eps1e17_256k_bs256,filter_top40_ekfac,,20
plan_adam_eps1e17_256k_bs256,filter_top40_ekfac_heldout,,20
plan_adam_eps1e17_32k_bs256,filter_proponents_bm25,,20
plan_adam_eps1e17_32k_bs256,filter_proponents_ekfac,,20
plan_adam_eps1e17_32k_bs256,filter_proponents_ekfac_heldout,,20
plan_adam_eps1e17_32k_bs256,filter_proponents_magic,,20
plan_adam_eps1e17_32k_bs256,filter_top40_bm25,,20
plan_adam_eps1e17_32k_bs256,filter_top40_ekfac,,20
plan_adam_eps1e17_32k_bs256,filter_top40_ekfac_heldout,,20
plan_adam_eps1e17_32k_bs256,filter_top40_magic,,20
plan_adam_eps1e17_32k_bs32,filter_proponents_ekfac,,20
plan_adam_eps1e17_4k_bs256,filter_proponents_bm25,,20
plan_adam_eps1e17_4k_bs256,filter_proponents_ekfac,,20
plan_adam_eps1e17_4k_bs256,filter_proponents_ekfac_heldout,,20
plan_adam_eps1e17_4k_bs256,filter_proponents_magic,,20
plan_adam_eps1e17_4k_bs256,filter_top40_bm25,,20
plan_adam_eps1e17_4k_bs256,filter_top40_ekfac,,20
plan_adam_eps1e17_4k_bs256,filter_top40_magic,,20
plan_adam_eps1e17_512k_bs256,filter_proponents_bm25,,20
plan_adam_eps1e17_512k_bs256,filter_proponents_ekfac,,20
plan_adam_eps1e17_512k_bs256,filter_proponents_ekfac_heldout,,1
plan_adam_eps1e17_512k_bs256,filter_top40_bm25,,20
plan_adam_eps1e17_512k_bs256,filter_top40_ekfac,,20
plan_adam_eps1e17_64k_bs256,filter_proponents_bm25,,20
plan_adam_eps1e17_64k_bs256,filter_proponents_ekfac,,20
plan_adam_eps1e17_64k_bs256,filter_proponents_ekfac_heldout,,20
plan_adam_eps1e17_64k_bs256,filter_proponents_magic,,20
plan_adam_eps1e17_64k_bs256,filter_top40_bm25,,20
plan_adam_eps1e17_64k_bs256,filter_top40_ekfac,,20
plan_adam_eps1e17_64k_bs256,filter_top40_ekfac_heldout,,20
plan_adam_eps1e17_64k_bs256,filter_top40_magic,,20
plan_adam_eps1e17_64k_bs32,filter_proponents_ekfac,,20
plan_adam_eps1e17_8k_bs256,filter_proponents_bm25,,20
plan_adam_eps1e17_8k_bs256,filter_proponents_ekfac,,20
plan_adam_eps1e17_8k_bs256,filter_proponents_ekfac_heldout,,20
plan_adam_eps1e17_8k_bs256,filter_proponents_magic,,20
plan_adam_eps1e17_8k_bs256,filter_top40_bm25,,20
plan_adam_eps1e17_8k_bs256,filter_top40_ekfac,,20
plan_adam_eps1e17_8k_bs256,filter_top40_ekfac_heldout,,20
plan_adam_eps1e17_8k_bs256,filter_top40_magic,,20
plan_muon_eps1e17_128k_bs256,filter_proponents_ekfac,,20
plan_muon_eps1e17_128k_bs32,filter_proponents_ekfac,,3
plan_muon_eps1e17_16k_bs128,filter_proponents_ekfac,,20
plan_muon_eps1e17_16k_bs128,filter_proponents_magic,,20
plan_muon_eps1e17_16k_bs16,filter_proponents_ekfac,,20
plan_muon_eps1e17_16k_bs32,filter_proponents_ekfac,,20
plan_muon_eps1e17_16k_bs32,filter_proponents_magic,,20
plan_muon_eps1e17_16k_bs512,filter_proponents_ekfac,,20
plan_muon_eps1e17_16k_bs64,filter_proponents_ekfac,,20
plan_muon_eps1e17_16k_bs64,filter_proponents_magic,,20
plan_muon_eps1e17_256k_bs256,filter_proponents_ekfac,,6
plan_muon_eps1e17_32k_bs256,filter_proponents_ekfac,,20
plan_muon_eps1e17_32k_bs256,filter_proponents_magic,,20
plan_muon_eps1e17_32k_bs32,filter_proponents_ekfac,,20
plan_muon_eps1e17_4k_bs256,filter_proponents_ekfac,,20
plan_muon_eps1e17_4k_bs256,filter_proponents_magic,,20
plan_muon_eps1e17_4k_bs256_lr2e-4,filter_proponents_ekfac,,20
plan_muon_eps1e17_64k_bs256,filter_proponents_ekfac,,20
plan_muon_eps1e17_64k_bs256,filter_proponents_magic,,20
plan_muon_eps1e17_64k_bs32,filter_proponents_ekfac,,20
plan_muon_eps1e17_8k_bs256,filter_proponents_ekfac,,20
plan_muon_eps1e17_8k_bs256,filter_proponents_magic,,20
qwen15b_16k_bs256,filter_proponents_ekfac,,20
qwen15b_16k_bs256,filter_top40_ekfac,,20
qwen15b_32k_bs256,filter_proponents_ekfac,,20
qwen15b_32k_bs256,filter_top40_ekfac,,20
qwen15b_4k_bs256,filter_proponents_ekfac,,20
qwen15b_4k_bs256,filter_top40_ekfac,,20
qwen15b_8k_bs256,filter_proponents_ekfac,,20
qwen15b_8k_bs256,filter_top40_ekfac,,20
sm_adamw_eps1e17_16k_bs256,filter_proponents_bm25,,20
sm_adamw_eps1e17_16k_bs256,filter_proponents_ekfac,,20
sm_adamw_eps1e17_16k_bs256,filter_proponents_ekfac_heldout,,20
sm_adamw_eps1e17_16k_bs256,filter_proponents_jina,,20
sm_adamw_eps1e17_16k_bs256,filter_proponents_magic,,20
sm_adamw_eps1e17_16k_bs256,filter_top40_bm25,,20
sm_adamw_eps1e17_16k_bs256,filter_top40_ekfac,,20
sm_adamw_eps1e17_16k_bs256,filter_top40_ekfac_heldout,,20
sm_adamw_eps1e17_16k_bs256,filter_top40_jina,,20
sm_adamw_eps1e17_16k_bs256,filter_top40_magic,,20
sm_adamw_eps1e17_16k_bs256_s43,filter_proponents_ekfac,,20
sm_muon_eps1e17_16k_bs256,filter_proponents_ekfac,,20
sm_muon_eps1e17_16k_bs256,filter_proponents_magic,,20
