n,rule,method,qset,query,qld,ctrl_sd,ctrl_n
4000,top40,bm25,in-dist,10,0.00828364372253418,0.0007055088896707461,100
4000,top40,bm25,in-dist,11,0.010150322914123535,0.0007595586076256539,100
4000,top40,bm25,in-dist,12,0.005380933284759522,0.0006151209887300336,100
4000,top40,bm25,in-dist,13,0.004001955986022949,0.0009551268141571194,100
4000,top40,bm25,in-dist,14,0.00779871940612793,0.000759558609575963,100
4000,top40,bm25,in-dist,15,0.005394291877746582,0.0006897811906232836,100
4000,top40,bm25,in-dist,16,0.006025207042694092,0.0007061626094009773,100
4000,top40,bm25,in-dist,17,0.038057548999786375,0.0011976274816987585,100
4000,top40,bm25,in-dist,18,0.002269883155822754,0.0009034227241466698,100
4000,top40,bm25,in-dist,19,-0.0007568907737731934,0.0010055156696880875,100
4000,top40,bm25,held-out,0,0.0069318612513598055,0.000546410446986556,3
4000,top40,bm25,held-out,1,0.0033090909419115633,0.00032604788430035114,3
4000,top40,bm25,held-out,2,0.00628789265465457,0.0007623434066772461,3
4000,top40,bm25,held-out,3,0.004795074462890625,0.0009054157417267561,3
4000,top40,bm25,held-out,4,0.011897087097167969,0.00025855228886939585,3
4000,top40,bm25,held-out,5,0.0014561811985913664,0.001162225496955216,3
4000,top40,bm25,held-out,6,0.0052661895751953125,0.0008484054706059396,3
4000,top40,bm25,held-out,7,0.003816366195678711,0.0002995421818923205,3
4000,top40,bm25,held-out,8,0.005265712738037109,0.0005496111116372049,3
4000,top40,bm25,held-out,9,0.006028493255143985,0.0007359129376709461,3
4000,top40,bm25,held-out,10,0.009054025023942813,0.0004535863408818841,3
4000,top40,bm25,held-out,11,0.0039365291595458984,0.0009046369232237339,3
4000,top40,bm25,held-out,12,0.009657541901106015,0.0005109271733090281,3
4000,top40,bm25,held-out,13,0.007657686888705939,0.000258332904195413,3
4000,top40,bm25,held-out,14,0.004381656646728516,0.0010556967463344336,3
4000,top40,bm25,held-out,15,0.015513976410147734,0.0006328634335659444,3
4000,top40,bm25,held-out,16,0.004992087691789493,0.0006162431673146784,3
4000,top40,bm25,held-out,17,0.0063391526564373635,0.0002111465873895213,3
4000,top40,bm25,held-out,18,0.007038752239168389,0.0008068721508607268,3
4000,top40,bm25,held-out,19,0.004040877029183321,0.0004429512482602149,3
4000,top40,magic,in-dist,0,0.022630771001786343,0.0005842496757395566,3
4000,top40,magic,in-dist,1,0.021179676055908203,0.0005236962460912764,3
4000,top40,magic,in-dist,2,0.02773173653986305,0.000796500185970217,3
4000,top40,magic,in-dist,3,0.022746960323274834,0.001084970193915069,3
4000,top40,magic,in-dist,4,0.019405444458243437,0.0009831583593040705,3
4000,top40,magic,in-dist,5,0.030736684799194336,0.0007878071628510952,3
4000,top40,magic,in-dist,6,0.022645791366812773,0.00019030229304917157,3
4000,top40,magic,in-dist,7,0.027342955261701718,0.0005340110510587692,3
4000,top40,magic,in-dist,8,0.02753162384033203,0.00048733895528130233,3
4000,top40,magic,in-dist,9,0.0251492659226642,0.0001502079248894006,3
4000,top40,magic,in-dist,10,0.021729707717895508,0.00039622679469175637,3
4000,top40,magic,in-dist,11,0.028411229461198673,0.00036405763239599764,3
4000,top40,magic,in-dist,12,0.01721803347027162,0.0009337388910353184,3
4000,top40,magic,in-dist,13,0.023903608322143555,0.0013235699152573943,3
4000,top40,magic,in-dist,14,0.025091886520385742,0.0004031990247312933,3
4000,top40,magic,in-dist,15,0.019037167221540585,0.000436796952271834,3
4000,top40,magic,in-dist,16,0.018813371658325195,0.0004921429208479822,3
4000,top40,magic,in-dist,17,0.0502474308013916,0.0004541581147350371,3
4000,top40,magic,in-dist,18,0.020923852920532227,0.00033819800592027605,3
4000,top40,magic,in-dist,19,0.02534596127225086,0.0010032174177467823,3
